PL	NAME	YEAR	TEAM	Avg. Mile	TIME	SCORE
47	Tripodi, Serena	SO-2	Columbia	6:07.5	22:50.4	47
48	Juul, Anna	SO-2	Harvard	6:08.5	22:53.9	48
49	Davison, Madeleine	JR-3	Syracuse	6:08.9	22:55.3	49
50	Bellows, Allison	SR-4	Brown	6:09.3	22:56.8	50
51	Sullivan Sweeney, Fian	FR-1	Boston College	6:09.5	22:57.6	51
52	Spiers, Abigail	FR-1	Syracuse	6:09.6	22:57.9	52
53	Clermont, Nicole	FR-1	Boston College	6:10.0	22:59.4	53
54	Huelskamp, Audrey	JR-3	Cornell	6:10.4	23:01.0	54
55	Nahom, Mia	SO-2	Connecticut	6:10.8	23:02.5	55
56	Sisson, Annika	SR-4	Stony Brook	6:11.0	23:03.3	56
57	Wilson, Emma	SO-2	Syracuse	6:11.0	23:03.4	57
58	Ielfield, Hali	FR-1	Manhattan	6:11.2	23:04.0	 
59	Fajardo, Lisa	SR-4	Manhattan	6:11.2	23:04.2	 
60	Brumley, Briar	SR-4	Cornell	6:11.3	23:04.4	58
