Race,Place,Bib Number,Name,School,1k,2k,3k,4k,5k,Finish,Total Time,Pace
Great Lakes Regional,96,525,Maya Hannagan (FR),Xavier (Ohio)(XAVI),3:24,3:41,3:49,3:46,3:53,3:47,22:24.0,6:00
Great Lakes Regional,97,143,Ashleigh Simonis (SO),Eastern Michigan (EMU),3:27,3:40,3:49,3:44,3:50,3:52,22:25.2,6:01
Great Lakes Regional,98,422,Olivia Chinn (SR),Toledo (TOLE),3:21,3:33,3:53,3:51,3:54,3:51,22:25.3,6:01
Great Lakes Regional,99,9,Alyssa Thomas (SO),Akron (AKR),3:26,3:39,3:49,3:42,3:55,3:53,22:26.2,6:01
Great Lakes Regional,100,219,Katelyn Murphy (JR),Iupui (IUPU),3:23,3:40,3:54,3:46,3:51,3:50,22:28.0,6:02
Great Lakes Regional,101,341,Heather Czarnecki (SO),Oakland (OAKL),3:28,3:42,3:52,3:46,3:51,3:47,22:28.6,6:02
Great Lakes Regional,102,63,Morgan Merlino (SO),Central Michigan (CMU),3:25,3:39,3:53,3:47,3:52,3:51,22:29.5,6:02
Great Lakes Regional,103,108,Emily Sreenan (FR),Dayton (DAYT),3:26,3:39,3:50,3:47,3:53,3:51,22:30.1,6:02
Great Lakes Regional,104,125,Claire Kendell (SO),Detroit Mercy (DETM),3:27,3:42,3:54,3:45,3:48,3:52,22:30.3,6:02
Great Lakes Regional,105,8,Lindsey Scarton (SO),Akron (AKR),3:26,3:39,3:52,3:48,3:52,3:53,22:31.9,6:02
Great Lakes Regional,106,112,Kelly Wilker (SO),Dayton (DAYT),3:28,3:41,3:53,3:45,3:50,3:51,22:32.1,6:03
Great Lakes Regional,107,462,Maria McDaniel (SR),Western Michigan (WMU),3:18,3:32,3:52,3:51,4:02,3:56,22:33.6,6:03
Great Lakes Regional,108,465,Paisley Sipes (FR),Western Michigan (WMU),3:22,3:40,3:55,3:51,3:57,3:47,22:34.4,6:03
Great Lakes Regional,109,195,Jessi Conley (SR),Indiana State (INST),3:22,3:37,3:53,3:50,3:55,3:56,22:35.5,6:03
